Industry Sector,Application Group,Development Type,Development Platform,Language Type,Primary Programming Language,Functional Size,Adjusted Function Points,Normalised Work Effort Level 1,Project Elapsed Time,1st Data Base System,Used Methodology
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,146.0,146.0,5419.0,5.9,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,198.0,198.0,8012.0,11.0,No,Yes
Government,Business Application,New Development,MF,3GL,PL/I,303.0,303.0,8490.0,6.0,DB2,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,122.0,122.0,902.0,8.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,264.0,264.0,686.0,6.0,IMS,Don't Know
Government,Business Application,New Development,Multi,3GL,Java,230.0,230.0,1248.0,6.0,ORACLE,Yes
Banking,Business Application,New Development,MR,3GL,Pro*C,344.0,344.0,13171.0,10.0,ORACLE,Don't Know
Banking,Business Application,Enhancement,MR,3GL,C++,2099.0,2099.0,17400.0,5.0,HIRDB,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,61.0,61.0,1488.0,12.0,DB2,Yes
Service Industry,Business Application,New Development,MF,3GL,COBOL,619.0,619.0,3995.0,6.0,Unspecified,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,288.0,288.0,8889.0,3.0,DB2,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,63.0,64.0,888.0,2.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,294.0,294.0,13326.0,14.0,DB2,Yes
Professional Services,Business Application,New Development,MR,3GL,Java,633.0,633.0,5885.0,3.9,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,3GL,PL/SQL,2189.0,2189.0,11082.0,10.0,ORACLE,Don't Know
Communication,Real-Time Application,Enhancement,MR,3GL,C,211.0,237.0,3201.0,9.0,ORACLE,No
Government,Business Application,Enhancement,MF,3GL,COBOL,601.0,679.0,1193.0,8.0,DB2,Yes
Utilities,Business Application,New Development,MF,4GL,SQL,605.0,666.0,752.0,13.0,DB2,Yes
Insurance,Business Application,New Development,MF,3GL,COBOL,96.0,96.0,4550.0,3.0,IMS,Yes
Government,Business Application,New Development,Multi,3GL,Java,234.0,234.0,2640.0,7.0,ORACLE,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,85.0,88.0,2299.0,6.0,ORACLE,Yes
Government,Business Application,Enhancement,PC,4GL,Visual Basic,186.0,186.0,953.0,6.0,MS SQL,Yes
Government,Business Application,New Development,Multi,3GL,C#,313.0,313.0,5613.0,27.0,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,211.0,211.0,4393.0,8.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,222.0,222.0,8902.0,3.0,Unspecified,Don't Know
Communication,Business Application,Enhancement,Multi,3GL,C,727.0,727.0,1406.0,3.0,SYBASE,Don't Know
Service Industry,Infrastructure Software,Enhancement,PC,3GL,C/AL,349.0,349.0,3703.0,8.0,Attain,Yes
Construction,Business Application,New Development,Multi,4GL,Visual Basic,2248.0,2248.0,13299.0,9.0,ORACLE,Don't Know
Government,Business Application,Enhancement,PC,4GL,PowerBuilder,285.0,285.0,3942.0,15.0,ORACLE,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,103.0,103.0,759.0,7.0,IMS,Yes
Government,Business Application,Enhancement,Multi,3GL,Java,156.0,156.0,1216.0,10.0,ORACLE,Yes
Wholesale & Retail,Business Application,New Development,MF,ApG,TELON,511.0,506.0,3500.0,9.0,IMS,Yes
Manufacturing,Business Application,Enhancement,MF,3GL,COBOL,987.0,987.0,1120.0,1.1,IMS,Don't Know
Medical & Health Care,Business Application,Enhancement,Multi,3GL,PL/SQL,1040.0,1040.0,4357.0,10.0,ORACLE,Don't Know
Electronics & Computers,Business Application,New Development,MF,4GL,Visual Basic,360.0,360.0,963.0,2.8,MS SQL,Don't Know
Electronics & Computers,Business Application,New Development,PC,4GL,ASP,360.0,360.0,2450.0,6.0,MS SQL,Don't Know
Communication,Business Application,New Development,Multi,4GL,Visual Basic,992.0,992.0,7800.0,13.0,MS SQL,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,236.0,236.0,1350.0,5.0,Exchange,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,374.0,374.0,5072.0,2.9,DB2,Don't Know
Government,Business Application,New Development,PC,4GL,DELPHI,98.0,119.0,438.0,1.0,DB2,Yes
Government,Business Application,New Development,PC,4GL,Lotus Notes,289.0,306.0,3521.0,11.0,Domino,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,369.0,369.0,8770.0,3.5,Unspecified,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,128.0,128.0,595.0,4.0,DB2,Yes
Communication,Business Application,Enhancement,PC,4GL,Oracle,81.0,84.0,2738.0,10.0,ORACLE,Yes
Insurance,Business Application,New Development,PC,3GL,Java,24.0,17.0,167.0,1.5,No,Yes
Government,Business Application,New Development,Multi,3GL,Java,649.0,649.0,4880.0,9.0,ORACLE,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,84.0,73.0,1121.0,6.0,ORACLE,No
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,524.0,524.0,9247.0,3.0,No,Don't Know
Communication,Real-Time Application,Enhancement,PC,4GL,ASP,1157.0,1157.0,3998.0,8.9,ORACLE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,263.0,263.0,5461.0,2.0,DB2,Don't Know
Government,Business Application,New Development,Multi,4GL,ABAP,183.0,183.0,7327.0,21.0,No,Yes
Communication,Business Application,New Development,MF,3GL,RPG,82.0,82.0,700.0,2.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,142.0,185.0,6416.0,16.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,84.0,84.0,1078.0,4.0,IMS,Don't Know
Medical & Health Care,Business Application,New Development,MR,3GL,C++,1240.0,1241.0,10222.0,15.0,WGRES,Yes
Financial,Business Application,New Development,Multi,4GL,Access,400.0,400.0,1015.0,2.9,ACCESS,Don't Know
Utilities,Real-Time Application,New Development,PC,3GL,C,1512.0,1285.0,1200.0,16.5,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,ABAP,327.0,327.0,3899.0,14.0,ORACLE,Yes
Government,Business Application,Re-development,Multi,3GL,Visual Basic,447.0,447.0,29246.0,35.0,No,Yes
Manufacturing,Business Application,New Development,Multi,4GL,OutlookVBA,410.0,410.0,563.0,3.8,Exchange,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,163.0,163.0,5985.0,10.0,IMS,No
Insurance,Business Application,Enhancement,MF,3GL,COBOL,128.0,128.0,2790.0,3.0,IMS,Yes
Mining,Business Application,New Development,MR,4GL,COBOL,672.0,753.0,4301.0,12.0,ORACLE,Yes
Service Industry,Business Application,Re-development,PC,3GL,C#,421.0,421.0,16788.0,15.5,DB2,Yes
Communication,Business Application,Enhancement,Multi,4GL,Visual Basic,444.0,444.0,800.0,2.5,ORACLE,Yes
Wholesale & Retail,Business Application,New Development,Multi,3GL,Pro*C,35.0,35.0,366.0,3.1,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,PC,3GL,C#,74.0,74.0,3132.0,17.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,578.0,578.0,6309.0,3.0,DB2,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,40.0,40.0,859.0,5.0,IMS,Don't Know
Utilities,Business Application,New Development,MF,ApG,TELON,959.0,1093.0,7263.0,11.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,671.0,671.0,8325.0,3.5,Unspecified,Don't Know
Service Industry,Business Application,Enhancement,Multi,3GL,PL/SQL,451.0,451.0,4810.0,5.8,ORACLE,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,236.0,236.0,1076.0,4.0,DB2,Yes
Communication,Business Application,Enhancement,Multi,3GL,COBOL,90.0,109.0,310.0,7.0,ORACLE,Yes
Service Industry,Business Application,New Development,Multi,4GL,C#,411.0,411.0,10955.0,15.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Visual Basic,310.0,310.0,6160.0,3.0,DB2,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,2181.0,2181.0,11853.0,10.0,ORACLE,Don't Know
Government,Business Application,New Development,Multi,4GL,Oracle,370.0,370.0,1562.0,4.6,ORACLE,Don't Know
Insurance,Business Application,Enhancement,PC,4GL,AB INITIO,59.0,44.0,744.0,6.0,ORACLE,Yes
Professional Services,Business Application,New Development,Multi,4GL,Visual Basic,66.0,66.0,310.0,2.0,ACCESS,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,16.0,16.0,843.0,3.0,DB2,Don't Know
Financial,Business Application,Enhancement,MF,4GL,SQL,204.0,204.0,772.0,5.0,MS SQL,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,279.0,279.0,3548.0,3.0,Unspecified,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,OutlookVBA,295.0,295.0,713.0,4.7,Exchange,Don't Know
Communication,Business Application,Enhancement,Multi,3GL,C,1136.0,1136.0,2811.0,3.0,SYBASE,Don't Know
Insurance,Business Application,New Development,Multi,3GL,Visual Basic,343.0,343.0,4006.0,3.0,MS SQL,Don't Know
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,190.0,190.0,2537.0,7.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,80.0,67.0,352.0,2.0,DB2,Yes
Communication,Business Application,Enhancement,MR,3GL,Java,95.0,93.0,1101.0,8.0,ORACLE,Yes
Financial,Business Application,Enhancement,PC,3GL,C++,1569.0,1757.0,13282.0,12.0,ORACLE,Yes
Utilities,Business Application,New Development,MR,4GL,SQL,1674.0,1825.0,1210.0,15.0,ORACLE,Yes
Electronics & Computers,Business Application,New Development,Multi,4GL,Visual Basic,268.0,268.0,1093.0,6.9,ORACLE,Don't Know
Government,Business Application,New Development,Multi,4GL,ABAP,860.0,860.0,18825.0,21.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,18.0,18.0,3002.0,13.0,DB2,Don't Know
Communication,Business Application,New Development,Multi,3GL,Visual Basic,98.0,98.0,1562.0,3.1,MS SQL,Don't Know
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,1806.0,1806.0,1716.0,12.0,Yes,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,632.0,632.0,8950.0,15.0,DB2,Yes
Medical & Health Care,Business Application,New Development,Multi,4GL,Visual Basic,564.0,564.0,1835.0,6.0,ACCESS,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,474.0,474.0,1829.0,6.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,400.0,400.0,3334.0,5.0,IMS,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,176.0,188.0,1648.0,5.0,DB2,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,252.0,252.0,2101.0,4.0,IMS,Yes
Construction,Business Application,New Development,PC,4GL,PowerBuilder,502.0,477.0,2620.0,8.0,Watcom,Yes
Utilities,Business Application,New Development,Multi,4GL,Lotus Notes,147.0,147.0,1327.0,9.2,ORACLE,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,C++,199.0,199.0,1073.0,2.5,ORACLE,Don't Know
Government,Business Application,Enhancement,Multi,3GL,Java,41.0,41.0,360.0,1.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,346.0,346.0,3476.0,9.0,DB2,Yes
Government,Business Application,New Development,MF,3GL,COBOL,269.0,288.0,2204.0,7.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,14.0,14.0,160.0,0.4,IMS,Don't Know
Service Industry,Business Application,New Development,Multi,4GL,Visual Basic,1190.0,1190.0,5742.0,8.6,SYBASE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,99.0,99.0,224.0,6.0,Unspecified,Don't Know
Manufacturing,Real-Time Application,New Development,PC,3GL,C,40.0,40.0,62.0,1.0,Yes,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,206.0,206.0,2805.0,8.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,76.0,76.0,827.0,4.0,DB2,Yes
Insurance,Business Application,New Development,Multi,4GL,Visual Basic,309.0,309.0,1575.0,5.9,ORACLE,Don't Know
Wholesale & Retail,Business Application,Enhancement,MR,4GL,ABAP,1149.0,1149.0,16960.0,8.0,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,136.0,136.0,1355.0,5.0,DB2,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Access,125.0,125.0,550.0,2.3,ACCESS,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,374.0,374.0,1838.0,4.0,IMS,No
Communication,Business Application,Enhancement,PC,4GL,Visual Basic,81.0,82.0,80.0,2.0,ACCESS,No
Government,Business Application,Enhancement,Multi,3GL,Unspecified,84.0,84.0,2031.0,32.0,DB2,Yes
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,49.0,49.0,323.0,3.0,DB2,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,97.0,97.0,3323.0,10.0,DB2,Yes
Construction,Business Application,Enhancement,PC,4GL,SQL,292.0,292.0,2124.0,3.0,ORACLE,Don't Know
Government,Business Application,Enhancement,PC,4GL,Visual Basic,492.0,492.0,4158.0,11.0,MS SQL,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,54.0,58.0,327.0,3.0,DB2,Yes
Insurance,Business Application,New Development,MF,3GL,COBOL,890.0,890.0,17765.0,10.0,IMS,Don't Know
Construction,Business Application,New Development,MR,3GL,PL/I,1136.0,1136.0,4997.0,5.7,ORACLE,Don't Know
Government,Business Application,Re-development,Multi,3GL,C#,112.0,112.0,2134.0,5.0,DB2,Yes
Banking,Business Application,Enhancement,Multi,3GL,COBOL,490.0,490.0,2192.0,9.0,DB2,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,410.0,426.0,646.0,2.0,ORACLE,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,130.0,130.0,3904.0,39.0,IMS,Don't Know
Government,Business Application,Enhancement,Multi,4GL,ASP,73.0,73.0,2758.0,6.0,No,Yes
Manufacturing,Business Application,Enhancement,MF,3GL,COBOL,13.0,11.0,97.0,1.0,IMS,Yes
Utilities,Business Application,Enhancement,MF,3GL,PL/I,315.0,315.0,1206.0,8.0,DB2,Yes
Communication,Mathematically-Intensive Application,Enhancement,PC,3GL,C++,455.0,573.0,1904.0,6.0,ORACLE,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,117.0,117.0,3549.0,7.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,83.0,83.0,634.0,5.0,MS SQL,Yes
Manufacturing,Business Application,Re-development,MF,3GL,COBOL,13580.0,17518.0,54620.0,14.0,DB2,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,1510.0,1510.0,5740.0,11.0,SYBASE,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,309.0,309.0,25900.0,4.9,DB2,Don't Know
Government,Business Application,Enhancement,MF,3GL,PL/I,184.0,184.0,2951.0,17.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,36.0,36.0,288.0,2.2,IMS,Don't Know
Manufacturing,Business Application,New Development,PC,3GL,HTML,150.0,150.0,562.0,1.2,ORACLE,Don't Know
Communication,Business Application,Enhancement,PC,3GL,COBOL,66.0,62.0,349.0,3.0,DB2,Yes
Banking,Business Application,Enhancement,MR,3GL,C++,1174.0,1174.0,9200.0,9.0,HIRDB,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,35.0,35.0,845.0,1.4,No,Don't Know
Insurance,Business Application,New Development,PC,4GL,Visual Basic,1194.0,1194.0,8162.0,10.8,MS SQL,Don't Know
Government,Business Application,Enhancement,Multi,3GL,C#,297.0,297.0,1861.0,10.0,MS SQL,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,1021.0,1021.0,20095.0,24.0,DB2,Yes
Insurance,Business Application,New Development,Multi,4GL,Visual Basic,134.0,134.0,960.0,2.9,MS SQL,Don't Know
Financial,Business Application,New Development,Multi,4GL,SQL,787.0,787.0,4918.0,10.0,MS SQL,Yes
Government,Business Application,New Development,MF,3GL,COBOL,191.0,222.0,1674.0,3.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,72.0,72.0,1796.0,2.0,IMS,Don't Know
Electronics & Computers,Business Application,Enhancement,Multi,3GL,C++,146.0,164.0,2965.0,2.5,DB2,Yes
Service Industry,Business Application,New Development,Multi,3GL,PL/SQL,1401.0,1401.0,9696.0,7.0,ORACLE,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,407.0,407.0,9013.0,7.0,IMS,Yes
Medical & Health Care,Business Application,New Development,Multi,3GL,Pro*C,2046.0,2046.0,12259.0,9.0,ORACLE,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,15.0,13.0,176.0,2.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,550.0,550.0,11580.0,5.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,187.0,187.0,1370.0,5.0,DB2,Yes
Mining,Business Application,Enhancement,MF,4GL,Access,244.0,276.0,300.0,4.0,ACCESS,Yes
Service Industry,Business Application,New Development,MF,3GL,RPG,546.0,546.0,1600.0,4.8,DB2,Don't Know
Service Industry,Business Application,Enhancement,Multi,4GL,PowerBuilder,565.0,565.0,5709.0,12.0,ORACLE,Yes
Manufacturing,Business Application,New Development,MR,3GL,Java,724.0,724.0,3092.0,3.5,ORACLE,Don't Know
Communication,Business Application,New Development,PC,4GL,Visual Basic,365.0,380.0,3322.0,9.0,ORACLE,Yes
Professional Services,Business Application,New Development,MR,3GL,Java,427.0,427.0,3971.0,3.9,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,3GL,Visual Basic,1253.0,1253.0,18920.0,8.9,ORACLE,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,512.0,512.0,11197.0,4.0,Unspecified,Don't Know
Insurance,Business Application,New Development,PC,3GL,COBOL,148.0,155.0,5196.0,8.0,DB2,Yes
Service Industry,Business Application,New Development,PC,3GL,C#,90.0,90.0,1963.0,17.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,119.0,119.0,2321.0,11.0,IMS,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,53.0,53.0,849.0,3.0,IMS,Yes
Insurance,Business Application,New Development,Multi,3GL,Visual Basic,97.0,97.0,1093.0,2.9,MS SQL,Don't Know
Government,Business Application,New Development,MF,3GL,Java,218.0,249.0,2390.0,6.0,DB2,Yes
Communication,Business Application,Enhancement,Multi,3GL,Java,583.0,677.0,1760.0,10.0,ORACLE,Yes
Wholesale & Retail,Business Application,Enhancement,MR,4GL,Oracle,268.0,249.0,500.0,3.0,ORACLE,No
Insurance,Business Application,New Development,MF,3GL,COBOL,869.0,869.0,16210.0,6.0,IMS,Don't Know
Government,Real-Time Application,Enhancement,MF,4GL,NATURAL,133.0,137.0,399.0,3.0,ADABAS,Yes
Professional Services,Business Application,New Development,PC,4GL,Access,517.0,579.0,784.0,7.0,ACCESS,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,332.0,332.0,6698.0,12.0,DB2,Yes
Electronics & Computers,Business Application,Enhancement,MF,3GL,PL/I,193.0,193.0,1084.0,12.0,DB2,Yes
Utilities,Business Application,Enhancement,MF,3GL,COBOL,96.0,101.0,450.0,1.5,DB2,No
Government,Business Application,New Development,MR,4GL,SQL,1164.0,1222.0,5800.0,20.0,SYBASE,No
Communication,Business Application,Enhancement,PC,4GL,NATURAL,115.0,115.0,1764.0,6.0,DB2,Yes
Communication,Real-Time Application,Enhancement,MR,3GL,C,156.0,175.0,3434.0,10.0,ORACLE,No
Professional Services,Business Application,New Development,PC,3GL,C++,258.0,243.0,1000.0,7.0,ACCESS,No
Manufacturing,Business Application,New Development,MR,3GL,C,77.0,77.0,910.0,3.1,Yes,Don't Know
Wholesale & Retail,Business Application,Enhancement,MR,4GL,Oracle,247.0,230.0,400.0,3.0,ORACLE,No
Construction,Business Application,New Development,Multi,4GL,Visual Basic,227.0,227.0,648.0,3.2,ORACLE,Don't Know
Financial,Business Application,Enhancement,MF,4GL,NATURAL,473.0,487.0,1017.0,6.0,DB2,Yes
Banking,Business Application,Enhancement,MF,4GL,Visual Basic,162.0,105.0,774.0,3.0,ACCESS,No
Mining,Real-Time Application,Enhancement,MF,3GL,COBOL,427.0,427.0,2960.0,4.0,DB2,Don't Know
Mining,Business Application,Re-development,PC,4GL,Access,225.0,230.0,500.0,4.0,ACCESS,Yes
Manufacturing,Business Application,New Development,PC,3GL,Java,85.0,85.0,262.0,1.0,ORACLE,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,23.0,23.0,480.0,1.6,IMS,Don't Know
Service Industry,Business Application,New Development,Multi,3GL,JavaScript,308.0,308.0,4190.0,17.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,203.0,203.0,2577.0,2.9,MS SQL,Don't Know
Banking,Business Application,Enhancement,Multi,3GL,C++,48.0,48.0,186.0,1.9,ORACLE,Don't Know
Professional Services,Business Application,New Development,MR,4GL,Oracle,398.0,442.0,749.0,3.4,ORACLE,Yes
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,436.0,436.0,1989.0,12.0,IMS,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,708.0,708.0,2946.0,9.0,DB2,Yes
Medical & Health Care,Business Application,Enhancement,Multi,3GL,C,117.0,117.0,308.0,2.7,ORACLE,Don't Know
Government,Business Application,Enhancement,MF,3GL,COBOL,12.0,12.0,129.0,3.0,Unspecified,Yes
Financial,Business Application,New Development,Multi,4GL,PowerBuilder,478.0,478.0,2716.0,5.8,ORACLE,Don't Know
Financial,Business Application,Enhancement,MR,3GL,COBOL,242.0,213.0,2185.0,7.0,ORACLE,No
Government,Business Application,Enhancement,MF,3GL,PL/I,96.0,96.0,1011.0,6.0,DB2,Yes
Government,Business Application,New Development,Multi,4GL,Datastage,1048.0,1048.0,7722.0,16.0,DB2,Yes
